Encountered overlapping areas: 24, 28.  Merging overlap into area 24
Encountered overlapping areas: 37, 40.  Merging overlap into area 37
Encountered overlapping areas: 37, 42.  Merging overlap into area 37
Encountered overlapping areas: 40, 42.  Merging overlap into area 40
Encountered overlapping areas: 39, 42.  Merging overlap into area 39
Encountered overlapping areas: 39, 42.  Merging overlap into area 39
Encountered overlapping areas: 39, 42.  Merging overlap into area 39
Encountered overlapping areas: 39, 42.  Merging overlap into area 39
Encountered overlapping areas: 39, 42.  Merging overlap into area 39
Encountered overlapping areas: 42, 46.  Merging overlap into area 42
Encountered overlapping areas: 39, 41.  Merging overlap into area 39
Encountered overlapping areas: 39, 41.  Merging overlap into area 39
Encountered overlapping areas: 42, 46.  Merging overlap into area 42
Encountered overlapping areas: 39, 41.  Merging overlap into area 39
Encountered overlapping areas: 44, 46.  Merging overlap into area 44
Encountered overlapping areas: 44, 46.  Merging overlap into area 44
Encountered overlapping areas: 44, 46.  Merging overlap into area 44
Encountered overlapping areas: 39, 41.  Merging overlap into area 39
Encountered overlapping areas: 44, 46.  Merging overlap into area 44
Encountered overlapping areas: 44, 46.  Merging overlap into area 44
Encountered overlapping areas: 44, 47.  Merging overlap into area 44
Encountered overlapping areas: 44, 47.  Merging overlap into area 44
Encountered overlapping areas: 44, 47.  Merging overlap into area 44
Encountered overlapping areas: 44, 47.  Merging overlap into area 44
Encountered overlapping areas: 44, 47.  Merging overlap into area 44
Encountered overlapping areas: 44, 47.  Merging overlap into area 44
Encountered overlapping areas: 44, 47.  Merging overlap into area 44
Encountered overlapping areas: 44, 47.  Merging overlap into area 44
Encountered overlapping areas: 44, 47.  Merging overlap into area 44
Encountered overlapping areas: 44, 47.  Merging overlap into area 44
Encountered overlapping areas: 44, 47.  Merging overlap into area 44
Encountered overlapping areas: 44, 49.  Merging overlap into area 44
Encountered overlapping areas: 44, 49.  Merging overlap into area 44
Encountered overlapping areas: 44, 49.  Merging overlap into area 44
Encountered overlapping areas: 44, 49.  Merging overlap into area 44
Encountered overlapping areas: 49, 51.  Merging overlap into area 49
Encountered overlapping areas: 49, 51.  Merging overlap into area 49
Encountered overlapping areas: 49, 51.  Merging overlap into area 49
Encountered overlapping areas: 49, 51.  Merging overlap into area 49
Encountered overlapping areas: 49, 51.  Merging overlap into area 49
Encountered overlapping areas: 49, 51.  Merging overlap into area 49
Encountered overlapping areas: 49, 51.  Merging overlap into area 49
Encountered overlapping areas: 49, 51.  Merging overlap into area 49
