state,pop2010,house2010,pop2019,pop2020,house2020,change,ec2010,ec2020,ec_change,2020pres,popchange
Alabama,4802982,7,4921532,5030053,7,0,9,9,0,Trump,227071
Alaska,721523,1,731158,736081,1,0,3,3,0,Trump,14558
Arizona,6412700,9,7421401,7158923,9,0,11,11,0,Biden,746223
Arkansas,2926229,4,3030522,3013756,4,0,6,6,0,Trump,87527
California,37341989,53,39368078,39576757,52,-1,55,54,-1,Biden,2234768
Colorado,5044930,7,5807719,5782171,8,1,9,10,1,Biden,737241
Connecticut,3581628,5,3557006,3608298,5,0,7,7,0,Biden,26670
Delaware,900877,1,986809,990837,1,0,3,3,0,Biden,89960
District of Columbia,601723,0,712816,691533,0,0,3,3,0,Biden,89810
Florida,18900773,27,21733312,21570527,28,1,29,30,1,Trump,2669754
Georgia,9727566,14,10710017,10725274,14,0,16,16,0,Biden,997708
Hawaii,1366862,2,1407006,1460137,2,0,4,4,0,Biden,93275
Idaho,1573499,2,1826913,1841377,2,0,4,4,0,Trump,267878
Illinois,12864380,18,12587530,12822739,17,-1,20,19,-1,Biden,-41641
Indiana,6501582,9,6754953,6790280,9,0,11,11,0,Trump,288698
Iowa,3053787,4,3163561,3192406,4,0,6,6,0,Trump,138619
Kansas,2863813,4,2913805,2940865,4,0,6,6,0,Trump,77052
Kentucky,4350606,6,4477251,4509342,6,0,8,8,0,Trump,158736
Louisiana,4553962,6,4645318,4661468,6,0,8,8,0,Trump,107506
Maine,1333074,2,1350141,1363582,2,0,4,4,0,Biden,30508
Maryland,5789929,8,6055802,6185278,8,0,10,10,0,Biden,395349
Massachusetts,6559644,9,6893574,7033469,9,0,11,11,0,Biden,473825
Michigan,9911626,14,9966555,10084442,13,-1,16,15,-1,Biden,172816
Minnesota,5314879,8,5657342,5709752,8,0,10,10,0,Biden,394873
Mississippi,2978240,4,2966786,2963914,4,0,6,6,0,Trump,-14326
Missouri,6011478,8,6151548,6160281,8,0,10,10,0,Trump,148803
Montana,994416,1,1080577,1085407,2,1,3,4,1,Trump,90991
Nebraska,1831825,3,1937552,1963333,3,0,5,5,0,Trump,131508
Nevada,2709432,4,3138259,3108462,4,0,6,6,0,Biden,399030
New Hampshire,1321445,2,1366275,1379089,2,0,4,4,0,Biden,57644
New Jersey,8807501,12,8882371,9294493,12,0,14,14,0,Biden,486992
New Mexico,2067273,3,2106319,2120220,3,0,5,5,0,Biden,52947
New York,19421055,27,19336776,20215751,26,-1,29,28,-1,Biden,794696
North Carolina,9565781,13,10600823,10453948,14,1,15,16,1,Trump,888167
North Dakota,675905,1,765309,779702,1,0,3,3,0,Trump,103797
Ohio,11568495,16,11693217,11808848,15,-1,18,17,-1,Trump,240353
Oklahoma,3764882,5,3980783,3963516,5,0,7,7,0,Trump,198634
Oregon,3848606,5,4241507,4241500,6,1,7,8,1,Biden,392894
Pennsylvania,12734905,18,12783254,13011844,17,-1,20,19,-1,Biden,276939
Rhode Island,1055247,2,1057125,1098163,2,0,4,4,0,Biden,42916
South Carolina,4645975,7,5218040,5124712,7,0,9,9,0,Trump,478737
South Dakota,819761,1,892717,887770,1,0,3,3,0,Trump,68009
Tennessee,6375431,9,6886834,6916897,9,0,11,11,0,Trump,541466
Texas,25268418,36,29360759,29183290,38,2,38,40,2,Trump,3914872
Utah,2770765,4,3249879,3275252,4,0,6,6,0,Trump,504487
Vermont,630337,1,623347,643503,1,0,3,3,0,Biden,13166
Virginia,8037736,11,8590563,8654542,11,0,13,13,0,Biden,616806
Washington,6753369,10,7693612,7715946,10,0,12,12,0,Trump,962577
West Virginia,1859815,3,1784787,1795045,2,-1,5,4,-1,Biden,-64770
Wisconsin,5698230,8,5832655,5897473,8,0,10,10,0,Biden,199243
Wyoming,568300,1,582328,577719,1,0,3,3,0,Trump,9419
